Year,Banks,Gross_NPAs_Addition_during_the_Year,Gross_NPAs_Closing_Balance,Net_NPA_Closing_Balance,Cash_in_hand,Balances_with_RBI,Money_at_call_and_short_notice,Advances,Total_Assets,Deposits,Credit_-_Deposit_Ratio,Ratio_of_demand_&_savings_bank_deposits_to_total_deposits,Ratio_of_priority_sector_advances_to_total_advances,Ratio_of_net_interest_income_to_total_assets_(Net_Interest_Margin),Return_on_assets,Return_on_equity,Cost_of_deposits,Business_per_employee(in_Rupees_Lakh),Capital_adequacy_ratio,Ratio_of_net_NPA_To_net_advances,Interest_Expended,Operating_Expenses,Net_Interest_Income,Provisions_and_Contingencies,Operating_Profit,Profit_(Loss)_during_the_year,Category,PCR,Credit_Growth_(%),GDP,Growth_rate,Repo_rate,GNPA_Ratio,Next_Year,Next_GNPA_Ratio,Consecutive_Year,Delta_GNPA_Ratio,Deterioration_Flag,Credit_Growth_Recorded_ORIGINAL,PCR_FLAG,PCR_flow_over_stock_check,GDP_ORIGINAL,Growth_rate_ORIGINAL,Real_GDP_Growth_pct,GVA_Growth_pct,Investment_Rate_pct_of_GDP,PCR_stock_based,PCR_ORIGINAL_UNRELIABLE
2023,CSB BANK LTD,289.511037,262.56036,71.8214,111.0567,1358.8537,299.4624,20650.6453,29162.2815,24505.8119,84.268358,32.181179,54.267374,4.893185,2.06,18.697152,4.103851,647,27.1,0.35,985.8065,942.1281,1333.8469,160.0383,707.3997,547.3614,Private Sector Bank,72.6457565795538,30.5789606725154,14,6.7,6.5,1.27143900922069,2024,1.48372286093072,TRUE,0.212283851710021,0,7.82339382826989,OK,60.9529557317792,14,6.7,7.609364977704,7.214814133485,35.24891,72.6457565795538,60.9529557317792
2024,CSB BANK LTD,262.5604,361.0725,124.8996,140.1766,2949.4717,,24335.5757,36055.9902,29718.8036,81.886122,27.203018,54.04332,4.52761,1.79,16.178096,4.976563,656,24.47,0.51,1451.13,1280.78,1476.41,213.1001,779.9218,566.8217,Private Sector Bank,65.4087198554307,17.8441416549826,12,7,6.5,1.48372286093072,2025,1.5820583765566,TRUE,0.0983355156258827,0,10.3134380047977,OK,59.0186458398244,12,7,9.190754930285,8.559254114773,34.642678,65.4087198554307,59.0186458398244
2025,CSB BANK LTD,361.0725,498.4599,163.5307,143.1467,3044.1363,299.7167,31507.0485,47836.2719,36861.4881,85.474163,24.194554,53.424686,3.519216,1.49,14.306003,5.668198,838,22.46,0.52,2120.9693,1537.9923,1476.1751,316.4377,910.2354,593.7977,Private Sector Bank,67.1928072849993,29.4690903901649,9.8,6.7,6.25,1.5820583765566,,,FALSE,,,7.97497615749008,OK,63.4830805848174,9.8,6.7,6.49476552384,6.414086697106,,67.1928072849993,63.4830805848174
2005,DCB BANK LTD,211.62,310.75,143.87,31.2052,189.9015,,2156.0635,4659.4572,3894.7628,55.358018,22.706759,32.76763,1.386736,-3.38,-63.787093,4.906101,402,9.88,6.34,233.52,165.11,69.7,158.7871,-4.1274,-162.9145,Private Sector Bank,53.7023330651649,,14.1,2.6,6,14.4128408091877,2006,16.8647953448624,TRUE,2.45195453567469,1,16.2406667120543,OK,51.098020917136,14.1,2.6,7.92293807295951,7.05093547208952,29.739689583569,53.7023330651649,51.098020917136
2006,DCB BANK LTD,310.75,314.92,83.96,19.7994,172.6753,,1867.3218,3741.7226,3123.9958,59.773505,32.056826,29.686072,1.789946,-2.01,-46.896027,5.038358,390,9.66,4.5,201.95,150.09,75.19,65.5954,-19.6654,-85.2608,Private Sector Bank,73.3392607646387,-13.3920777379701,14,3.9,6.5,16.8647953448624,2007,5.49822945801324,TRUE,-11.3665658868491,0,16.6049842402841,OK,20.8292264702147,14,3.9,7.92342866735518,8.28129114504204,32.8676900977815,73.3392607646387,20.8292264702147
2007,DCB BANK LTD,314.92,146.16,43.64,35.014,294.3129,,2658.3103,5262.1468,4415.2028,60.208113,28.349407,34.023669,2.655574,0.71,2.948865,5.476192,391,11.34,1.64,227.38,171.07,119.55,33.6045,40.9764,7.3719,Private Sector Bank,70.1423097974822,42.3595172508563,17.1,7.8,7.75,5.49822945801324,2008,1.55893763671887,TRUE,-3.93929182129437,0,32.7003779670942,OK,22.9915845648604,17.1,7.8,8.06072889963741,8.05441849702261,33.498253505701,70.1423097974822,22.9915845648604
2008,DCB BANK LTD,146.16,63.43,26.98,40.8572,633.7509,274.908,4068.7965,7582.4499,6074.8508,66.977719,24.268757,35.342967,2.708267,0.48,7.887375,6.845837,454,13.38,0.66,388.3666,237.9783,173.933,71.2805,109.6106,38.3301000000001,Private Sector Bank,57.4649219612171,53.0595017443976,15.1,7.5,7.75,1.55893763671887,2009,8.8576139774859,TRUE,7.29867634076703,1,9.82640281087586,ABOVE_100_SUSPECT,112.376635661359,15.1,7.5,7.66082415755608,7.3833652744116,38.7091453329433,57.4649219612171,112.376635661359
2009,DCB BANK LTD,57.67,290,127.01,36.4122,250.4653,319.926,3274.0194,5943.0496,4646.8917,70.456116,31.011054,41.885882,2.916774,-1.25,-14.272522,7.487236,379,13.3,3.88,447.9511,241.9807,197.2541,163.4326,75.3371,-88.0955,Private Sector Bank,56.2034482758621,-19.5334689262537,12.6,10.2,5,8.8576139774859,2010,9.22562847100975,TRUE,0.368014493523855,0,10.9801963721085,OK,56.3560689655173,12.6,10.2,3.08669937408871,4.31239885000613,34.63759214019,56.2034482758621,56.3560689655172
2010,DCB BANK LTD,290,319.18,107.62,48.4062,242.9579,,3459.7101,6136.6652,4787.3288,72.268069,35.359109,42.12964,2.34361,-1.3,-13.081106,5.999569,515,14.85,3.11,317.42,200.81,141.55,126.7172,48.2671,-78.4501,Private Sector Bank,66.2823485180776,5.67164324072116,15.5,13.9,5,9.22562847100975,2011,6.15575122609383,TRUE,-3.06987724491593,0,-39.4482090997096,OK,39.7008584497776,15.5,13.9,7.86188237155002,6.85655166937235,36.237403409036,66.2823485180776,39.7008584497776
2011,DCB BANK LTD,319.18,263.57,41.23,63.8566,340.6538,,4281.687,7412.8723,5610.1658,76.320151,35.212102,37.908189,2.791805,0.3,3.50551,5.611069,491,13.25,0.96,347.12,215.18,189.14,64.6273,86.0564,21.4291,Private Sector Bank,84.3570967864325,23.7585484402292,19.9,10,6.75,6.15575122609383,2012,4.57571294830633,TRUE,-1.5800382777875,0,22.2987415644258,OK,24.5199757180256,19.9,10,8.49758687599316,8.02988178640115,40.1198616832315,84.3570967864325,24.5199757180256
2012,DCB BANK LTD,263.57,241.8,30.24,85.6762,321.8285,,5284.4224,8676.8473,6335.5555,83.408983,32.115097,36.325168,2.830389,0.68,7.428501,6.832399,514,15.41,0.57,489.27,244.25,227.7,28.7449,83.8219,55.077,Private Sector Bank,87.4937965260546,23.4191663239279,14.4,8.2,8.5,4.57571294830633,2013,3.26415455421075,TRUE,-1.31155839409558,0,37.411800255925,OK,11.88788254756,14.4,8.2,5.24131422482317,5.22332743548782,38.9523817758518,87.4937965260546,11.88788254756
2013,DCB BANK LTD,241.8,214.98,49.13,90.5841,288.1829,310.726,6586.0852,11278.8239,8363.8385,78.744768,27.159967,32.183995,2.850403,1.06,10.9484,7.274288,674,13.61,0.75,631.6946,275.2948,284.4085,24.0705,126.1329,102.0624,Private Sector Bank,77.1467113219834,24.6320733179846,13.8,11.2,7.5,3.26415455421075,2014,1.70082104510091,TRUE,-1.56333350910984,0,157.925088947101,OK,11.196622941669,13.8,11.2,5.45638755164234,5.41917342231536,39.5016796432622,77.1467113219834,11.196622941669
2014,DCB BANK LTD,214.98,138.45,74.02,84.9018,420.1675,,8140.1862,12923.1372,10325.1608,78.838348,24.99977,37.641752,3.044296,1.31,14.034232,7.115289,689,13.71,0.91,759.87,319.09,368.39,36.6044,187.9649,151.3605,Private Sector Bank,46.5366558324305,23.5967339141012,13,11.9,8,1.70082104510091,2015,1.77801180096446,TRUE,0.0771907558635552,0,-9.56463661842158,OK,26.4387143373059,13,11.9,6.38610640092723,6.05378518913893,35.1811624629026,46.5366558324305,26.4387143373059
2015,DCB BANK LTD,138.45,186.07,105.7,122.5391,511.1438,,10465.0599,16132.2851,12609.1272,82.99591,23.396197,41.109822,3.498309,1.37,13.942081,7.332148,696,14.95,1.01,914.2,396.49,508.22,86.2635,277.4467,191.1832,Private Sector Bank,43.1934218304939,28.5604486541107,11,6.5,7.5,1.77801180096446,2016,1.52754501552419,TRUE,-0.250466785440279,0,28.5604486541106,OK,46.360778201752,11,6.5,7.41022760516221,7.15478063868049,34.7632630741904,43.1934218304939,46.360778201752
2016,DCB BANK LTD,186.07,197.38,97.46,145.3978,557.9711,,12921.3868,19118.5231,14925.9858,86.569737993453,23.381156506259,42.6078367996847,3.51481756948767,1.14,11.5077344886283,7.33315603244483,678,14.11,0.75,1078.96,490.93,619.5,154.5042,349.0279,194.5237,Private Sector Bank,50.6231634410781,23.4716946053983,10.5,5.1,6.75,1.52754501552419,2017,1.60706730289757,TRUE,0.0795222873733883,0,23.4716946053983,OK,78.2775357179045,10.5,5.1,7.99625378567371,8.02848944993222,34.4549951026575,50.6231634410781,78.2775357179045
2017,DCB BANK LTD,197.38,254.2,124.41,183.3002,675.0019,225,15817.6325,24046.3786,19289.2114,82.002484041416,24.3098771782863,41.14973337508,3.69321679701636,0.93,9.99111395942984,6.88650948356948,685,13.76,0.79,1279.0592,627.7286,797.0867,218.5314,418.2066,199.6752,Private Sector Bank,51.0582218725413,22.4143564837793,11.8,4.4,6.25,1.60706730289757,2018,1.81460222402778,TRUE,0.207534921130209,0,20.6253148726555,OK,85.9682926829268,11.8,4.4,8.256306,7.972023,34.943218,51.0582218725413,85.9682926829268
2018,DCB BANK LTD,254.2,369.03,146.72,239.7731,896.6167,1175,20336.6884,30222.0921,24006.8628,84.7119782764785,24.3277114075897,46.15517932605,3.6685268155161,0.94,9.78880929597466,5.95015240434894,723,16.47,0.72,1417.5584,780.7316,995.4267,279.6282,524.9708,245.3426,Private Sector Bank,60.2417147657372,28.5697363369644,11,2.2,6,1.81460222402778,2019,1.86473206132255,TRUE,0.0501298372947641,0,6.32874851368879,OK,75.7738395252419,11,2.2,6.795383,6.231181,37.452479,60.2417147657372,75.7738395252419
2019,DCB BANK LTD,369.03,439.48,153.77,244.6337,1072.5838,1250,23567.9972,35791.8325,28435.1142,82.8834272802041,23.9488941458164,56.8837194193149,3.48196992366062,0.99,10.9857271790577,6.51897620106885,792,16.81,0.65,1892.1955,852.8513,1149.2925,321.234,646.6001,325.3661,Private Sector Bank,65.0109219987258,15.889060875811,10.6,0.7,6.25,1.86473206132255,2020,2.49163942765024,TRUE,0.626907366327692,1,11.525924886838,OK,73.0941112223537,10.6,0.7,6.45,5.81,37.347347,65.0109219987258,73.0941112223537
2020,DCB BANK LTD,439.479198,631.513296,293.51,221.8117,807.9866,2415,25345.2923,38505.1407,30369.9287,83.4552249047592,21.4660467740907,55.7467628810894,3.405022427,0.9,10.33798937,6.879996681,804.49,17.75,1.16,2271.7186,902.9445,1264.9143,415.1257,753.0618,337.9361,Private Sector Bank,53.5227521163703,7.54113760672035,6.4,6,4.4,2.49163942765024,2021,4.20961381303489,TRUE,1.71797438538465,1,30.2818951337327,OK,65.7350688622714,6.4,6,3.871437,3.944641,33.785447,53.5227521163703,65.7350688622714
2021,DCB BANK LTD,631.513296,1083.4366,594.15,197.3833,985.504,1559.9676,25737.197,39602.1289,29703.8646,86.6459544796067,22.8472304576826,59.8401162333256,3.294,0.87,9.353,6.26,828.62,19.67,2.31,2171.5978,846.6272,1286.6166,550.0255,885.8153,335.7898,Private Sector Bank,45.1606120745783,1.54626230134265,-1.2,7.3,4,4.20961381303489,2022,4.43340802961496,TRUE,0.223794216580075,0,11.8998119674692,OK,50.7667453730103,-1.2,7.3,-5.777724706874,-4.145902641222,32.071601,45.1606120745783,50.7667453730103
2022,DCB BANK LTD,1083.4366,1289.9347,573.2306,191.7985,2915.7022,246.3523,29095.7812,44792.5614,34691.6866,83.869607,26.753047,48.69229,3.217045,0.7,7.364906,5.856682,860.92,18.92,1.97,2155.2576,1012.5643,1357.5074,509.478,796.9823,287.5043,Private Sector Bank,55.5612698844368,13.0495337157345,18.9,4.2,4,4.43340802961496,2023,3.26614786167653,TRUE,-1.16726016793843,0,-40.1864207569929,OK,39.4964179194497,18.9,4.2,9.689592491912,9.375448587977,36.663675,55.5612698844368,39.4964179194497
2023,DCB BANK LTD,1289.9347,1122.8377,356.9195,184.6304,1845.9737,,34378.0425,52365.8692,41238.9076,83.363126,26.420695,53.205778,3.534444,0.97,10.808178,5.866227,779.76,17.55,1.04,2483.27,1339.66,1717.01,321.1748,786.7337,465.5589,Private Sector Bank,68.2127256681887,18.154732686813,14,6.7,6.5,3.26614786167653,2024,3.30722150995645,TRUE,0.0410736482799128,0,-10.3477145356487,OK,28.6038489801331,14,6.7,7.609364977704,7.214814133485,35.24891,68.2127256681887,28.6038489801331
2024,DCB BANK LTD,1122.8377,1353.466,454.3305,185.6784,2681.2539,,40924.5645,63036.9669,49353.0343,82.922084,26.021583,51.65286,3.341163,0.93,11.122822,6.781008,836.55,16.59,1.11,3434.14,1537.69,1927.9,328.4702,864.4447,535.9745,Private Sector Bank,66.432071437332,19.0427421805648,12,7,6.5,3.30722150995645,2025,3.04510262514717,TRUE,-0.262118884809281,0,12.0576695351503,OK,24.2688179828677,12,7,9.190754930285,8.559254114773,34.642678,66.432071437332,24.2688179828677
2025,DCB BANK LTD,1353.466,1554.4309,571.5502,154.8626,2352.6248,,51046.9134,76809.7809,60030.9531,85.034321,24.521751,51.747743,3.01268,0.89,11.435376,7.014385,896.61,16.77,1.12,4364.02,1820.08,2106.57,421.665,1036.9997,615.3347,Private Sector Bank,63.2309033486146,24.7341640006945,9.8,6.7,6.25,3.04510262514717,,,FALSE,,,11.3810978601831,OK,27.1266480870909,9.8,6.7,6.49476552384,6.414086697106,,63.2309033486146,27.1266480870909
2005,DENA BANK,1484.01,1147.54,591,150.2321,1339.8119,25,11308.587,24028.5872,20896.5528,54.116998,42.034067,38.973579,2.973002,0.26,5.650696,4.99164,313,11.91,5.23,1038.5785,615.6008,686.5973,321.1789,382.1769,60.998,Public Sector Bank,48.498527284452,,14.1,2.6,6,10.1475100293255,2006,6.6712401739919,TRUE,-3.4762698553336,0,496.307039679412,OK,27.988470990118,14.1,2.6,7.92293807295951,7.05093547208952,29.739689583569,48.498527284452,27.988470990118
2006,DENA BANK,1147.54,949.4,432.85,140.9085,1545.5411,,14231.237,26545.3333,23623.0589,60.24299,43.648849,41.00562,2.857877,0.29,5.975321,4.372827,364,10.62,3.04,1037.46,561.34,722.67,527.3762,600.3641,72.9879,Public Sector Bank,54.4080471876975,25.8445197441555,14,3.9,6.5,6.6712401739919,2007,4.06744315523096,TRUE,-2.60379701876095,0,-0.0047636512174653,OK,55.5483673899305,14,3.9,7.92342866735518,8.28129114504204,32.8676900977815,54.4080471876975,55.5483673899305
2007,DENA BANK,949.4,744.48,364.8,181.1796,1776.1501,,18303.3904,31450.6475,27689.9064,66.101308,44.510263,39.544542,2.949726,0.71,14.216424,4.636916,458,11.52,1.99,1263.16,611.51,855.36,433.8087,635.3724,201.5637,Public Sector Bank,50.9993552546744,28.6141914437937,17.1,7.8,7.75,4.06744315523096,2008,2.48697188960819,TRUE,-1.58047126562276,0,31.2459437712761,OK,58.2700274016763,17.1,7.8,8.06072889963741,8.05441849702261,33.498253505701,50.9993552546744,58.2700274016763
2008,DENA BANK,744.48,572.6,215.43,193.1247,3339.8873,,23023.9836,38641.726,33943.1809,67.830955,39.244041,34.363563,2.450345,1.06,21.824804,5.575281,559,11.09,0.94,1817.14,650.44,858.75,326.6505,686.44,359.7895,Public Sector Bank,62.3768774013273,25.7908130506794,15.1,7.5,7.75,2.48697188960819,2009,2.1496326765775,TRUE,-0.33733921303069,0,1.39339045106153,OK,57.046891372686,15.1,7.5,7.66082415755608,7.3833652744116,38.7091453329433,62.3768774013273,57.046891372686
2009,DENA BANK,572.6,620.77,313.38,220.1991,4762.2103,,28877.957,48460.5066,43050.6141,67.079083,34.77589,33.982793,2.444081,1.02,21.286594,5.859952,714,12.07,1.09,2383.07,768.19,1064.42,303.6977,726.3599,422.6622,Public Sector Bank,49.5175346746782,25.4255453865073,12.6,10.2,5,2.1496326765775,2010,1.81033778079157,TRUE,-0.339294895785931,0,48.8860435521266,OK,48.922741111845,12.6,10.2,3.08669937408871,4.31239885000613,34.63759214019,49.5175346746782,48.922741111845
2010,DENA BANK,620.77,641.99,427.53,230.6542,4124.3776,,35462.4428,57586.5764,51344.2759,69.067958,35.95529,32.917065,2.074592,1.01,21.426376,5.850314,827,12.77,1.21,2910.33,848.08,1100.02,329.3248,840.5779,511.2531,Public Sector Bank,33.4055047586411,22.801079037551,15.5,13.9,5,1.81033778079157,2011,1.87882384369244,TRUE,0.0684860629008683,0,54.2459268920168,OK,51.2974968457453,15.5,13.9,7.86188237155002,6.85655166937235,36.237403409036,33.4055047586411,51.2974968457453
2011,DENA BANK,641.99,842.24,548.95,241.3171,4480.0948,200,44828.0451,70838.4195,64209.619,69.815155,35.524848,33.79505,2.746135,1,19.548341,5.395535,1077,13.41,1.22,3270.1641,1073.4162,1763.3616,612.1565,1223.7863,611.6298,Public Sector Bank,34.822615881459,26.409918664712,19.9,10,6.75,1.87882384369244,2012,1.68717090554084,TRUE,-0.191652938151601,0,26.409918664712,OK,72.6819552621581,19.9,10,8.49758687599316,8.02988178640115,40.1198616832315,34.822615881459,72.6819552621581
2012,DENA BANK,842.24,956.5,571.73,338.784,4856.1716,,56692.5376,87387.9166,77166.797,73.467527,34.553754,30.256282,2.655693,1.08,19.749557,6.405872,1284,11.51,1.01,4693.13,1154.75,2101,725.2869,1528.4279,803.141,Public Sector Bank,40.2268687924726,26.4666738724237,14.4,8.2,8.5,1.68717090554084,2013,2.20800108753232,TRUE,0.52083018199148,1,25.5369770334961,OK,75.8271719811814,14.4,8.2,5.24131422482317,5.22332743548782,38.9523817758518,40.2268687924726,75.8271719811814
2013,DENA BANK,956.5,1452.45,917.18,448.0321,8196.4609,80,65781.2176,113440.424,97207.1508,67.671171,28.961863,28.147641,2.373272,0.86,15.825705,7.150575,1431,11.03,1.39,6516.2879,1299.6975,2383.1015,928.4848,1738.8672,810.3824,Public Sector Bank,36.8529037144136,16.0315279307589,13.8,11.2,7.5,2.20800108753232,2014,3.37318203626627,TRUE,1.16518094873396,1,41.175597227446,OK,63.9254225618782,13.8,11.2,5.45638755164234,5.41917342231536,39.5016796432622,36.8529037144136,63.9254225618782
2014,DENA BANK,1452.45,2616.03,1818.92,485.8535,5758.0968,,77553.7748,124863.4886,110027.6878,70.48569,28.184259,29.461809,2.102424,0.51,8.548562,6.861092,1453,11.14,2.35,7473.4,1647.78,2505.08,1222.3672,1774.0273,551.6601,Public Sector Bank,30.4702163201492,17.8965328242875,13,11.9,8,3.37318203626627,2015,5.56543762593652,TRUE,2.19225558967024,1,17.8965328242875,OK,46.7260390744754,13,11.9,6.38610640092723,6.05378518913893,35.1811624629026,30.4702163201492,46.7260390744754
2015,DENA BANK,2616.03,4393.04,3014.3,778.7187,8306.3337,200,78934.3138,129920.5492,115936.0791,68.08434,27.821917,35.077869,1.921519,0.22,3.641075,7.07116,1442,10.93,3.82,8315.6232,1838.9247,2447.862,1064.7897,1330.2718,265.4821,Public Sector Bank,31.3846448017773,1.7801054862387,11,6.5,7.5,5.56543762593652,2016,10.3979875468099,TRUE,4.83254992087343,1,-40.2472742215339,OK,24.238106186149,11,6.5,7.41022760516221,7.15478063868049,34.7632630741904,31.3846448017773,24.238106186149
2016,DENA BANK,4393.04,8560.49,5230.47,597.5075,4751.2292,,82328.3348,133441.6391,117430.9603,70.1078613252216,29.3672598026093,34.8153456153713,1.88086635821745,-1.02,-12.8287493472342,6.61336581193308,1462,11,6.35,8168.99,2268.25,2476.75,1860.6155,925.2966,-935.3189,Public Sector Bank,38.8998760584966,4.29980427599537,10.5,5.1,6.75,10.3979875468099,2017,17.3872500856398,TRUE,6.98926253882985,1,-11.5461534303387,OK,21.7349182114575,10.5,5.1,7.99625378567371,8.02848944993222,34.4549951026575,38.8998760584966,21.7349182114575
2017,DENA BANK,8560.49,12618.73,7735.12,624.4078,5386.4544,,72574.6161,129530.5146,113942.7674,63.6939208657486,38.2495640526281,38.9280725385745,1.83164640522925,-0.67,-11.6496551536033,6.23497055754961,1369,11.39,10.66,7773.31,2269.55,2408.36,2253.838,1390.2132,-863.6248,Public Sector Bank,38.7012797642869,-11.8473411659481,11.8,4.4,6.25,17.3872500856398,2018,24.9482497464255,TRUE,7.5609996607857,1,-11.5214470622931,OK,17.8610525781913,11.8,4.4,8.256306,7.972023,34.943218,38.7012797642869,17.8610525781913
2018,DENA BANK,12618.73,16361.44,7838.78,482.2794,5412.456,,65581.5144,120859.7962,106130.1424,61.7934857307795,40.1159409920852,39.6527195779425,1.97756270367631,-1.59,-22.7754610391845,5.41234303250895,1325,11.09,11.95,6456.41,2468.18,2475.81,3094.3101,1171.1569,-1923.1532,Public Sector Bank,52.089913846214,-9.63574053270121,11,2.2,6,24.9482497464255,2019,24.5731219868627,TRUE,-0.375127759562847,0,-9.3500635256588,OK,18.9122112723574,11,2.2,6.795383,6.231181,37.452479,52.089913846214,18.9122112723574
2019,DENA BANK,16361.44,12767.94,4166.97,577.3182,6196.8398,,51958.9656,109100.3223,100651.8522,51.6224634363957,43.0091803119347,39.8331053380324,2.15013848151239,-5.49,-103.272518836306,5.2463344407647,1212,2,8.02,5767.32,3246.74,2472.23,6536.4,197.7176,-6338.6824,Public Sector Bank,67.3638034013318,-20.7719338667788,10.6,0.7,6.25,24.5731219868627,,,FALSE,,,10.7185614300805,OK,51.1938495951579,10.6,0.7,6.45,5.81,37.347347,67.3638034013318,51.1938495951579
2005,DHANLAXMI BANK LTD,136.55,125.58,60.19,49.1394,154.9013,,1410.1492,2644.463,2338.8355,60.292791,26.870496,29.931932,2.872712,-0.83,-17.407145,5.074501,292.7,10.16,3.92,119.06,69.37,73.1,40.0492,18.4483,-21.6009,Private Sector Bank,52.0703933747412,,14.1,2.6,6,8.90544064415312,2006,6.98594444035359,TRUE,-1.91949620379952,0,45.364476447864,OK,31.8913839783405,14.1,2.6,7.92293807295951,7.05093547208952,29.739689583569,52.0703933747412,31.8913839783405
2006,DHANLAXMI BANK LTD,125.58,111.38,44.89,48.9353,127.077,,1594.3442,2848.7395,2532.6708,62.951103,28.918362,35.571961,3.021829,0.33,7.658237,4.959123,311.71,9.75,2.82,126.89,81.81,83,13.5822,23.098,9.5158,Private Sector Bank,59.696534386784,13.0620930040594,14,3.9,6.5,6.98594444035359,2007,5.24153892105297,TRUE,-1.74440551930062,0,-1.49303722950278,OK,12.1944693840905,14,3.9,7.92342866735518,8.28129114504204,32.8676900977815,59.696534386784,12.1944693840905
2007,DHANLAXMI BANK LTD,111.38,96.29,32.24,43.8986,206.8239,,1837.0559,3447.9452,3087.958,59.490961,28.365732,38.526541,3.135993,0.47,11.456158,5.052826,366.68,9.77,1.75,149.77,87.76,98.73,22.5012,38.6413,16.1401,Private Sector Bank,66.5178107799356,15.2232936902834,17.1,7.8,7.75,5.24153892105297,2008,3.00708856548983,TRUE,-2.23445035556314,0,-0.0715850932490492,OK,23.3681586872988,17.1,7.8,8.06072889963741,8.05441849702261,33.498253505701,66.5178107799356,23.3681586872988
2008,DHANLAXMI BANK LTD,96.29,63.21,18.56,52.8317,301.2364,,2102.0332,4032.9836,3608.4202,58.253559,29.235029,43.232704,2.646179,0.76,17.811552,6.119057,409.08,9.21,0.88,213.51,96.52,98.98,16.0327,44.4963,28.4636,Private Sector Bank,70.6375573485208,14.4240194323972,15.1,7.5,7.75,3.00708856548983,2009,2.01592187171666,TRUE,-0.991166693773175,0,5.72302563755434,OK,25.3641828824553,15.1,7.5,7.66082415755608,7.3833652744116,38.7091453329433,70.6375573485208,25.3641828824553
2009,DHANLAXMI BANK LTD,63.21,64.43,28.24,78.8698,316.1251,,3196.0564,5642.8241,4968.8113,64.322354,24.304183,32.860653,2.513882,1.21,19.255999,6.516653,585.88,15.38,0.88,286.8,113.07,121.62,30.4532,87.9046,57.4514,Private Sector Bank,56.1694862641627,52.0459524616452,12.6,10.2,5,2.01592187171666,2010,1.54806225950853,TRUE,-0.467859612208129,0,135.61660268714,OK,47.2655595219618,12.6,10.2,3.08669937408871,4.31239885000613,34.63759214019,56.1694862641627,47.2655595219618
2010,DHANLAXMI BANK LTD,64.43,77.5,41.94,118.1108,494.7878,,5006.2586,8086.891,7098.484,70.525743,21.857377,25.075784,2.047383,0.35,5.39091,6.136043,369.61,12.99,0.84,394.02,192.86,140.55,15.3756,38.6793,23.3037,Private Sector Bank,45.8838709677419,56.638618767804,15.5,13.9,5,1.54806225950853,2011,0.740086897828748,TRUE,-0.80797536167978,0,-60.1627791100453,OK,19.8394838709677,15.5,13.9,7.86188237155002,6.85655166937235,36.237403409036,45.8838709677419,19.8394838709677
2011,DHANLAXMI BANK LTD,77.5,67.09,27.47,148.6831,654.1216,,9065.1517,14268.15,12529.6317,72.349706,22.899398,28.297778,2.372009,0.23,4.057267,5.953067,589.22,11.8,0.3,641.29,344.47,265.13,41.371,67.4332,26.0622,Private Sector Bank,59.0550007452675,81.0763770772848,19.9,10,6.75,0.740086897828748,2012,1.19056149972339,TRUE,0.450474601894638,0,42.4639124843787,OK,61.6649277090475,19.9,10,8.49758687599316,8.02988178640115,40.1198616832315,59.0550007452675,61.6649277090475
2012,DHANLAXMI BANK LTD,67.09,104.27,58,157.5023,710.443,,8758.0524,14676.4863,11804.4103,74.193053,19.348804,32.088641,1.710299,-0.73,-14.70252,8.347102,592.92,9.49,0.66,1146.13,488.96,247.52,17.8283,-97.7986,-115.6269,Private Sector Bank,44.375179821617,-3.38769068806648,14.4,8.2,8.5,1.19056149972339,2013,4.88963802675878,TRUE,3.69907652703539,1,10.0447152259012,OK,17.0982065790736,14.4,8.2,5.24131422482317,5.22332743548782,38.9523817758518,44.375179821617,17.0982065790736
2013,DHANLAXMI BANK LTD,104.27,380.27,261.02,180.1379,329.6619,175,7777.0583,13829.5902,11202.132,69.424805,22.460095,28.930247,1.939393,0.02,0.351014,7.964178,674.74,11.06,3.36,1031.5765,339.3213,276.4224,48.7767,51.3992,2.6225,Private Sector Bank,31.3592973413627,-11.2010531017147,13.8,11.2,7.5,4.88963802675878,2014,6.12175264031612,TRUE,1.23211461355734,1,-29.1536240232228,OK,12.8268598627291,13.8,11.2,5.45638755164234,5.41917342231536,39.5016796432622,31.3592973413627,12.8268598627291
2014,DHANLAXMI BANK LTD,380.27,485.82,301.88,142.2981,487.8607,359.911,7935.9626,14687.5889,12133.2061,65.406971,21.985047,36.158883,1.96458,-1.84,-33.536728,7.875609,774.32,8.67,3.8,1011.827,347.4885,280.1214,257.975,6.0609,-251.9141,Private Sector Bank,37.8617594994031,2.0432442945683,13,11.9,8,6.12175264031612,2015,7.27905507802262,TRUE,1.1573024377065,1,10.2246092970128,OK,53.1009427359928,13,11.9,6.38610640092723,6.05378518913893,35.1811624629026,37.8617594994031,53.1009427359928
2015,DHANLAXMI BANK LTD,485.82,558.29,252.63,192.0135,477.3175,274.9466,7669.8142,14351.9086,12381.6833,61.944842,24.339226,38.944679,2.058184,-1.77,-33.074065,7.314709,899.67,9.59,3.29,984.7511,358.1957,298.8431,267.0624,25.5928,-241.4696,Private Sector Bank,54.749323828118,-3.35370028079518,11,6.5,7.5,7.27905507802262,2016,6.60061857858386,TRUE,-0.678436499438762,0,12.6746505073678,OK,47.8357842698239,11,6.5,7.41022760516221,7.15478063868049,34.7632630741904,54.749323828118,47.8357842698239
