Year,Banks,Gross_NPAs_Addition_during_the_Year,Gross_NPAs_Closing_Balance,Net_NPA_Closing_Balance,Cash_in_hand,Balances_with_RBI,Money_at_call_and_short_notice,Advances,Total_Assets,Deposits,Credit_-_Deposit_Ratio,Ratio_of_demand_&_savings_bank_deposits_to_total_deposits,Ratio_of_priority_sector_advances_to_total_advances,Ratio_of_net_interest_income_to_total_assets_(Net_Interest_Margin),Return_on_assets,Return_on_equity,Cost_of_deposits,Business_per_employee(in_Rupees_Lakh),Capital_adequacy_ratio,Ratio_of_net_NPA_To_net_advances,Interest_Expended,Operating_Expenses,Net_Interest_Income,Provisions_and_Contingencies,Operating_Profit,Profit_(Loss)_during_the_year,Category,PCR,Credit_Growth_(%),GDP,Growth_rate,Repo_rate,GNPA_Ratio,Next_Year,Next_GNPA_Ratio,Consecutive_Year,Delta_GNPA_Ratio,Deterioration_Flag,Credit_Growth_Recorded_ORIGINAL,PCR_FLAG,PCR_flow_over_stock_check,GDP_ORIGINAL,Growth_rate_ORIGINAL,Real_GDP_Growth_pct,GVA_Growth_pct,Investment_Rate_pct_of_GDP,PCR_stock_based,PCR_ORIGINAL_UNRELIABLE
2020,ALLAHABAD BANK,28704.78,27846.87,8088.09,635.3925,6731.217,6800,142964.7811,258002.1179,228608.5075,62.53694696817,47.8241235182378,38.5081553487581,2.15185069088235,-2.22,-49.5210702459489,4.96892311604952,1676,12.01,5.66,11474.6162,4818.5832,5450.3999,8484.5906,3088.5045,-5396.0861,Public Sector Bank,70.9551199111426,0.529222032858034,6.4,6,4.4,19.4781328560367,,,FALSE,,,14.4460955716068,OK,30.4687406520015,6.4,6,3.871437,3.944641,33.785447,70.9551199111426,30.4687406520015
2005,ANDHRA BANK,615.37,440.93,48.97,264.0672,1809.8607,715,17516.843,32728.684,27550.71,63.580369,36.148121,39.435729,3.579122,1.59,31.62095,4.473717,346.25,12.11,0.28,1212.9181,829.4628,1069.0414,472.8297,992.9288,520.0991,Public Sector Bank,88.8939287415236,,14.1,2.6,6,2.517177324704,2006,1.97693020950397,TRUE,-0.540247115200031,0,-2.82236209812864,ABOVE_100_SUSPECT,107.234640419114,14.1,2.6,7.92293807295951,7.05093547208952,29.739689583569,88.8939287415236,107.234640419114
2006,ANDHRA BANK,440.93,436.91,52.46,326.8038,3533.9099,462.9665,22100.4261,40669.3389,33922.4136,65.149922,36.309938,37.262196,3.185295,1.38,20.524347,4.51781,426.75,14,0.24,1506.1508,857.9357,1168.9716,217.0913,702.5888,485.4975,Public Sector Bank,87.9929504932366,26.166719082885,14,3.9,6.5,1.97693020950397,2007,1.42353277707257,TRUE,-0.5533974324314,0,53.2384795638897,OK,49.6878762216475,14,3.9,7.92342866735518,8.28129114504204,32.8676900977815,87.9929504932366,49.6878762216475
2007,ANDHRA BANK,436.91,397.01,47.25,391.8307,2557.2254,176.1437,27889.0663,47540.9977,41454.0209,67.277108,34.528745,37.486193,3.213998,1.31,17.781251,4.804633,536.06,11.33,0.17,1897.7861,933.1863,1417.5392,393.3364,931.2389,537.9025,Public Sector Bank,88.0985365607919,26.192437077039,17.1,7.8,7.75,1.42353277707257,2008,1.08775573913457,TRUE,-0.335777037938003,0,17.2644591053963,OK,99.0746832573487,17.1,7.8,8.06072889963741,8.05441849702261,33.498253505701,88.0985365607919,99.0746832573487
2008,ANDHRA BANK,397.01,372.43,53.7,440.6773,4460.9905,380.3149,34238.3852,56592.3896,49436.5476,69.257233,33.565936,36.976373,2.572793,1.16,17.970969,6.112463,626.53,11.61,0.15,2869.9959,909.0889,1339.5684,481.3735,1056.9449,575.5714,Public Sector Bank,85.5811830411084,22.7663372868098,15.1,7.5,7.75,1.08775573913457,2009,0.834042080683107,TRUE,-0.25371365845146,0,3.14601158183703,ABOVE_100_SUSPECT,129.252074215289,15.1,7.5,7.66082415755608,7.3833652744116,38.7091453329433,85.5811830411084,129.252074215289
2009,ANDHRA BANK,372.43,368.14,79.22,435.9194,4417.4195,,44139.2597,68469.2076,59390.0196,74.321005,31.408359,36.234896,2.601766,1.09,18.939225,6.408597,728.29,13.22,0.18,3747.71,1104.26,1626.9,634.9782,1288.0294,653.0512,Public Sector Bank,78.4810126582278,28.9174692152246,12.6,10.2,5,0.834042080683107,2010,0.869434160051931,TRUE,0.0353920793688246,0,-16.8091284433795,CAPPED_AT_150_SUSPECT,172.482805454447,12.6,10.2,3.08669937408871,4.31239885000613,34.63759214019,78.4810126582278,150
2010,ANDHRA BANK,368.14,487.87,95.72,429.9906,6268.7074,3997.5864,56113.5072,90342.4023,77688.2076,72.229118,29.430894,35.517498,2.76395,1.39,25.961112,5.546336,939,13.93,0.17,4178.1287,1349.535,2194.737,763.9738,1809.822,1045.8482,Public Sector Bank,80.3800192674278,27.1283378592777,15.5,13.9,5,0.869434160051931,2011,1.39376357183298,TRUE,0.524329411781044,1,8.08473645307954,CAPPED_AT_150_SUSPECT,156.593723737881,15.5,13.9,7.86188237155002,6.85655166937235,36.237403409036,80.3800192674278,150
2011,ANDHRA BANK,487.87,995.64,273.68,457.9162,6726.489,2297.6528,71435.3582,108900.7195,92156.2816,77.515452,29.058654,33.00067,3.233205,1.36,23.243791,5.37618,1165,14.38,0.38,5070.3074,1704.864,3220.9695,1145.9908,2413.0633,1267.0725,Public Sector Bank,72.5121529870234,27.3051031107177,19.9,10,6.75,1.39376357183298,2012,2.16047305224146,TRUE,0.766709480408484,1,7.85139976074563,ABOVE_100_SUSPECT,115.100920011249,19.9,10,8.49758687599316,8.02988178640115,40.1198616832315,72.5121529870234,115.100920011249
2012,ANDHRA BANK,995.64,1798.01,755.85,469.8759,5094.0111,779.1946,83222.9774,124545.3869,105851.2181,78.622598,26.402432,33.235386,3.220719,1.19,19.248355,7.015945,1262,13.18,0.91,7579.4068,1804.2492,3759.3215,1470.3304,2815.0019,1344.6715,Public Sector Bank,57.9618578317139,16.5010990313758,14.4,8.2,8.5,2.16047305224146,2013,3.77591273469618,TRUE,1.61543968245472,1,42.3665654921833,OK,81.7754295026168,14.4,8.2,5.24131422482317,5.22332743548782,38.9523817758518,57.9618578317139,81.7754295026168
2013,ANDHRA BANK,1798.01,3714.49,2409.18,634.0667,5388.0693,,98373.301,146298.9442,123795.5809,79.464307,25.654296,35.194446,2.774301,0.99,16.194557,7.446054,1355,11.76,2.45,9152.67,2037.21,3757.02,1478.0996,2767.2328,1289.1332,Public Sector Bank,35.1410287818785,18.2044960097763,13.8,11.2,7.5,3.77591273469618,2014,5.44163084412977,TRUE,1.6657181094336,1,32.834915102553,OK,39.7928006267348,13.8,11.2,5.45638755164234,5.41917342231536,39.5016796432622,35.1410287818785,39.7928006267348
